COUNTRY,INDICATOR,FREQUENCY,SCALE,TAHUN,VALUE
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2000,9.33
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2001,12.58
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2002,9.94
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2003,5.19
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2004,6.38
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2005,17.14
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2006,6.59
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2007,5.78
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2008,11.06
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2009,2.78
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2010,6.95
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2011,3.78
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2012,3.65
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2013,8.09
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2014,8.36
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2015,3.35
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2016,3.03
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2017,3.61
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2018,3.16
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2019,2.58
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2020,1.68
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2021,1.88
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2022,5.41
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2023,2.81
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2024,1.57
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2025,2.72
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2026,1.04
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2027,0.70
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2028,0.35
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2029,0.00
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2030,-0.35
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2000,3.69
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2001,11.47
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2002,11.91
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2003,6.79
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2004,6.06
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2005,10.46
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2006,13.10
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2007,6.32
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2008,9.87
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2009,4.80
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2010,5.14
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2011,5.35
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2012,3.98
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2013,6.41
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2014,6.40
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2015,6.36
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2016,3.53
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2017,3.81
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2018,3.29
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2019,2.82
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2020,2.03
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2021,1.56
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2022,4.14
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2023,3.71
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2024,1.57
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2025,2.72
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2026,1.53
