COUNTRY,INDICATOR,FREQUENCY,SCALE,TAHUN,VALUE,TYPE
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2000,9.33,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2001,12.58,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2002,9.94,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2003,5.19,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2004,6.38,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2005,17.14,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2006,6.59,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2007,5.78,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2008,11.06,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2009,2.78,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2010,6.95,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2011,3.78,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2012,3.65,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2013,8.09,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2014,8.36,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2015,3.35,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2016,3.03,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2017,3.61,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2018,3.16,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2019,2.58,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2020,1.68,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2021,1.88,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2022,5.41,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2023,2.81,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2024,1.57,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2025,2.72,Actual
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2026,1.04,Forecast
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2027,0.70,Forecast
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2028,0.35,Forecast
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2029,0.00,Forecast
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2030,-0.35,Forecast
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2000,3.69,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2001,11.47,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2002,11.91,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2003,6.79,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2004,6.06,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2005,10.46,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2006,13.10,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2007,6.32,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2008,9.87,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2009,4.80,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2010,5.14,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2011,5.35,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2012,3.98,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2013,6.41,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2014,6.40,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2015,6.36,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2016,3.53,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2017,3.81,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2018,3.29,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2019,2.82,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2020,2.03,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2021,1.56,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2022,4.14,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2023,3.71,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2024,1.57,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2025,2.72,Actual
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2026,1.53,Forecast
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2027,1.22,Forecast
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2028,0.92,Forecast
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2029,0.61,Forecast
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2030,0.30,Forecast
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2000,4.45,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2001,3.95,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2002,3.68,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2003,3.17,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2004,1.88,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2005,0.51,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2006,2.41,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2007,1.45,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2008,0.02,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2009,1.84,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2010,0.70,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2011,0.19,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2012,-2.66,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2013,-3.19,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2014,-3.09,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2015,-2.04,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2016,-1.82,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2017,-1.59,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2018,-2.94,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2019,-2.71,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2020,-0.42,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2021,0.30,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2022,1.00,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2023,-0.15,Actual
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2024,-0.09,Forecast
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2025,-0.14,Forecast
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2026,-0.33,Forecast
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2027,-0.51,Forecast
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2028,-0.70,Forecast
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2029,-0.88,Forecast
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2030,-1.07,Forecast
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2000,4.98,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2001,3.64,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2002,4.50,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2003,4.78,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2004,5.03,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2005,5.69,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2006,5.50,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2007,6.35,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2008,7.44,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2009,4.70,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2010,6.38,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2011,6.17,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2012,6.03,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2013,5.56,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2014,5.01,Actual
