COUNTRY,INDICATOR,FREQUENCY,SCALE,Year,Value,Type
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2000,2.57,Actual
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2000,-7.28,Actual
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2000,-0.77,Actual
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2000,-0.69,Actual
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2000,2.76,Actual
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2000,2.63,Actual
Japan,Unemployment rate,Annual,Units,2000,4.73,Actual
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2001,0.15,Actual
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2001,-6.20,Actual
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2001,-0.91,Actual
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2001,-0.69,Actual
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2001,0.39,Actual
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2001,1.97,Actual
Japan,Unemployment rate,Annual,Units,2001,5.04,Actual
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2002,-0.17,Actual
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2002,-7.34,Actual
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2002,-0.53,Actual
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2002,-0.90,Actual
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2002,0.04,Actual
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2002,2.61,Actual
Japan,Unemployment rate,Annual,Units,2002,5.36,Actual
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2003,1.35,Actual
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2003,-7.43,Actual
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2003,-0.30,Actual
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2003,-0.26,Actual
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2003,1.54,Actual
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2003,3.09,Actual
Japan,Unemployment rate,Annual,Units,2003,5.24,Actual
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2004,2.11,Actual
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2004,-5.31,Actual
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2004,0.53,Actual
