COUNTRY,INDICATOR,FREQUENCY,SCALE,Year,Value,Type
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2000,9.04,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2000,1.35,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2000,4.59,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2000,2.06,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2000,7.17,Actual
Singapore,Unemployment rate,Annual,Units,2000,2.67,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2000,11.07,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2001,-1.07,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2001,1.01,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2001,1.20,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2001,-0.59,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2001,-3.70,Actual
Singapore,Unemployment rate,Annual,Units,2001,2.65,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2001,14.43,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2002,3.92,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2002,-0.39,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2002,2.23,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2002,0.44,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2002,2.98,Actual
Singapore,Unemployment rate,Annual,Units,2002,3.55,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2002,14.88,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2003,4.55,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2003,0.49,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2003,0.68,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2003,0.75,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2003,6.10,Actual
Singapore,Unemployment rate,Annual,Units,2003,3.95,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2003,24.30,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2004,9.94,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2004,1.67,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2004,2.06,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2004,1.31,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2004,8.57,Actual
Singapore,Unemployment rate,Annual,Units,2004,3.35,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2004,19.31,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2005,7.37,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2005,0.47,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2005,2.56,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2005,1.27,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2005,4.87,Actual
Singapore,Unemployment rate,Annual,Units,2005,3.12,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2005,23.26,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2006,9.01,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2006,0.97,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2006,2.16,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2006,0.81,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2006,5.65,Actual
Singapore,Unemployment rate,Annual,Units,2006,2.65,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2006,26.89,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2007,9.02,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2007,2.11,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2007,7.12,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2007,3.84,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2007,4.57,Actual
Singapore,Unemployment rate,Annual,Units,2007,2.12,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2007,27.14,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2008,1.86,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2008,6.64,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2008,3.59,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2008,5.35,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2008,-3.42,Actual
Singapore,Unemployment rate,Annual,Units,2008,2.23,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2008,15.08,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2009,0.13,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2009,0.59,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2009,-0.09,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2009,-0.53,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2009,-2.85,Actual
Singapore,Unemployment rate,Annual,Units,2009,3.02,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2009,16.39,Actual
